Year,Month,SPEI1,Rainfall,Tmin,Tmax,Tmean,PET,SOI,PDO,SAM,IOD_2,Nino 3 anomaly,Nino 3.4 anomaly,Nino 4 anomaly
1889,1,-1.599444753,2.338709677,14.50967742,35.10967742,24.80967742,244.1069262,-2.84,0.04,-2.039,-0.598,2.02,1.98,0.83
1889,2,-1.83920358,2.003571429,13.4,34.91428571,24.157142855,200.876164,-0.21,0.04,-3.179,-0.166,1.34,1.47,0.76
1889,3,-2.409638033,0,10.94193548,33.53870968,22.24032258,177.3378577,-3.2,0.04,-2.216,-0.553,0.73,0.83,0.42
1889,4,-1.061716231,3.703333333,8.953333333,25.34,17.1466666665,95.88883861,0.07,0.04,-1.315,-0.742,0.36,0.46,0.14
1889,5,-0.832139501,3.764516129,6.893548387,20.62258065,13.7580645185,61.32884031,-0.19,0.04,-1.183,-0.584,0.09,0.32,0.13
1889,6,-1.285984681,1.99,5.023333333,17.13666667,11.0800000015,43.35023779,2.49,0.04,-2.144,-0.448,0.01,0.09,-0.4
1889,7,-2.466793086,0.15483871,0.922580645,17.27419355,9.0983870975,52.85409235,0.18,0.04,-0.537,-0.419,-0.73,-0.76,-0.62
1889,8,-1.157366892,2.787096774,3.567741935,17.87741935,10.7225806425,68.82924004,0.05,0.04,-0.828,-0.552,-0.97,-0.99,-0.68
1889,9,-1.03193755,2.073333333,5.463333333,20.90333333,13.1833333315,100.3227685,1.05,0.04,0.555,-0.806,-0.89,-0.92,-0.84
1889,10,-1.483668509,1.074193548,9.24516129,26.68709677,17.96612903,160.0902091,0.29,0.04,0.24,-0.98,-1.24,-1.31,-1.23
1889,11,-1.431837493,1.956666667,12.78666667,30.60333333,21.695,197.7150856,1.92,0.04,-1.852,-0.747,-1.01,-1.08,-1.08
1889,12,-2.124474555,0.032258065,12.85483871,34.08709677,23.47096774,245.8246836,2.35,0.04,-1.713,-0.341,-1.05,-1.25,-1.16
1890,1,-2.273378832,0.048387097,17.64193548,38.66774194,28.15483871,265.9780655,2.16,0.04,-2.018,-0.04,-2.01,-2.49,-1.94
1890,2,-2.131898423,0.028571429,15.59285714,36.27142857,25.932142855,205.2674363,1.03,0.04,-1.648,0.014,-1.69,-2.11,-1.6
1890,3,-1.239067079,2.335483871,13.53870968,30.84516129,22.191935485,155.0090685,1.43,0.04,-1.369,-0.098,-1.01,-1.15,-0.89
1890,4,-1.895075949,0.856666667,7.626666667,26.31,16.9683333335,101.8657167,0.75,0.04,-1.504,-0.126,-1.14,-1.14,-0.79
1890,5,-2.07775345,1.664516129,5.022580645,21.93225806,13.4774193525,67.45792909,0.35,0.04,0.033,-0.257,-1.07,-1,-0.75
1890,6,-0.976157328,2.683333333,5.6,17.20666667,11.403333335,42.90902464,0.45,0.04,0.735,-0.656,-0.92,-0.86,-1.05
1890,7,-0.730547665,2.267741935,1.412903226,14.69032258,8.051612903,45.7737572,-0.23,0.04,-0.231,-0.82,-0.88,-0.92,-1.08
1890,8,-0.667106843,1.283870968,2.661290323,16.24193548,9.4516129015,64.06512063,-0.42,0.04,-1.297,-0.594,-1.07,-1.38,-1.53
1890,9,-1.434748912,0.576666667,5.053333333,21.29333333,13.1733333315,102.8557748,0.88,0.04,-2.703,-0.985,-0.97,-1.29,-1.52
